Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,15780,27.29%
TOCANTINS,9904,17.13%
MARANHÃO,7741,13.39%
PIAUÍ,3534,6.11%
PARÁ,3267,5.65%
GOIÁS,2941,5.09%
BAHIA,2630,4.55%
MATO GROSSO DO SUL,2417,4.18%
MINAS GERAIS,2064,3.57%
SÃO PAULO,1673,2.89%
PARANÁ,1605,2.78%
RONDÔNIA,1356,2.34%
AMAZONAS,501,0.87%
RIO GRANDE DO SUL,466,0.81%
SANTA CATARINA,423,0.73%
ACRE,314,0.54%
CEARÁ,268,0.46%
RIO DE JANEIRO,241,0.42%
ESPÍRITO SANTO,212,0.37%
RIO GRANDE DO NORTE,138,0.24%
RORAIMA,95,0.16%
PERNAMBUCO,89,0.15%
DISTRITO FEDERAL,67,0.12%
AMAPÁ,36,0.06%
PARAÍBA,35,0.06%
ALAGOAS,22,0.04%
SERGIPE,8,0.01%
